BIAS_Ranking,COMPLEXITY_Ranking,EXPENSIVENESS_Ranking,EXPLAINABLE_Ranking,SAFE_Ranking,TRUSTWORTHY_Ranking,EFFECTIVENESS_Ranking
22,1,1,1,1,49,58
26,2,2,2,2,50,56
27,3,3,3,3,51,54
5,4,4,4,4,16,52
6,5,5,5,5,43,50
8,6,6,6,6,9,48
9,7,7,7,7,10,46
10,8,8,8,8,11,44
11,9,9,9,9,12,42
13,10,10,10,10,13,40
15,11,11,11,11,14,38
16,12,12,12,12,15,36
21,13,13,13,13,56,34
20,14,14,14,14,57,32
17,15,15,15,15,17,30
18,16,16,16,16,18,28
19,17,17,17,17,19,26
25,18,18,18,18,53,24
24,19,19,19,19,54,22
50,20,20,20,20,38,20
49,21,21,21,21,39,18
51,22,22,22,22,40,16
53,23,23,23,23,41,14
55,24,24,24,24,42,12
28,25,25,25,25,1,10
29,26,26,26,26,20,8
30,27,27,27,27,21,6
31,28,28,28,28,22,4
32,29,29,29,29,23,2
33,30,30,30,30,24,1
34,31,31,31,31,2,3
48,32,32,32,32,58,5
35,33,33,33,33,25,7
36,34,34,34,34,26,9
37,35,35,35,35,27,11
42,36,36,36,36,28,13
43,37,37,37,37,29,15
14,38,38,38,38,3,17
23,39,39,39,39,52,19
47,40,40,40,40,55,21
38,41,41,41,41,4,23
39,42,42,42,42,5,25
40,43,43,43,43,6,27
41,44,44,44,44,7,29
44,45,45,45,45,8,31
45,46,46,46,46,30,33
46,47,47,47,47,31,35
52,48,48,48,48,32,37
54,49,49,49,49,33,39
56,50,50,50,50,34,41
57,51,51,51,51,35,43
58,52,52,52,52,36,45
6,53,53,53,53,37,47
1,54,54,54,54,47,49
2,55,55,55,55,45,51
3,56,56,56,56,44,53
4,57,57,57,57,46,55
7,58,58,58,58,48,57
